request_id,variant,latency_ms,predicted,true_label,correct
7ac8ac72-558e-42fd-bd5a-c4c8bd5306c0,B,9.089,0,0,1
b9a54c57-902c-4309-9d5c-082a7be414bb,B,6.520,0,0,1
13526c70-50ca-4651-a6b3-afa53123c8bf,A,6.162,0,0,1
ab8bb182-6583-492b-8651-6f09b91e9953,B,6.690,0,0,1
8f604168-6a39-45c9-ac0c-7c120fd20ce7,B,6.438,0,0,1
0db752ba-301d-4bcd-a7d9-81efc83ab090,A,6.709,0,0,1
35fd0f23-f7f9-4eb6-8c13-774e53f518df,A,6.661,0,0,1
fac3db0a-d8d3-40bb-afd0-519fe8386b30,A,6.736,1,1,1
cc4a9376-bf94-4216-8be0-352dbcc4e03a,B,7.642,0,0,1
efb217c0-9c56-45e2-9f02-70bbe0dd5fbb,A,8.319,0,0,1
e19bfbc8-2263-4d90-a9d0-8ba1e84cf3cb,A,6.961,0,0,1
8c2bc3ca-3b12-4577-8c0d-5ab65e7b59f8,B,6.847,0,0,1
a26e6c18-af47-4055-9b8e-233d40949fad,A,6.874,0,0,1
3c55d61e-237c-4e47-a8c7-c34d2a10a743,A,6.522,0,0,1
2701d115-1ed5-45ec-b3a8-37d5131ca4ff,A,6.241,0,0,1
c8392e1f-cc23-4331-8664-c1732a4852a9,B,7.262,0,0,1
7b4a26cc-053b-4793-adbd-5162e212cc8f,B,6.593,0,0,1
cd9a30d3-e5e2-497c-b1bb-30794cbcaa32,B,6.757,0,0,1
166aa251-4008-42ad-9258-170e4e3c7743,A,6.111,0,0,1
218914dd-663f-4005-b60f-1106e4e5bfb2,B,7.398,0,0,1
8ad6f638-b4e0-4eb7-aa5e-4325f6fcc0b7,B,7.304,0,0,1
2daf3cdb-8247-405e-b10f-79e94072e851,B,6.692,0,0,1
80423734-5aee-4d5b-b06c-de9817ba14d9,B,6.952,1,1,1
10354bd7-e6c0-4ff0-9609-db44e57c7ed5,A,6.369,0,0,1
2e646e02-aedf-45eb-8736-531d83a7cce5,B,7.564,0,0,1
4a1b49d1-477c-4ca4-8ddd-9f017c84b8cd,B,7.107,0,0,1
d68bb196-b865-42c7-ad60-49b988f25268,A,6.367,1,1,1
5c1ae16c-1048-4c33-85ab-febeceb0f3e1,B,7.170,0,0,1
464688be-2f1d-40e0-9885-0ce754a85057,A,6.624,0,0,1
96af8e7e-5844-479d-ab81-5326049693c6,B,6.945,0,0,1
9dd95d37-e490-4aeb-9125-46344f260704,A,6.503,1,1,1
44c2b752-be2f-46c9-b5d2-21e7f34545ab,B,7.728,0,0,1
5a52fd44-3852-4f6c-b4f5-120d9b1fd4fe,B,7.395,0,0,1
c1341644-8ffa-4a57-90e8-107b134c2825,B,6.856,0,0,1
b7e2761d-79f1-4a71-976b-5da822cde565,A,6.577,0,0,1
c55380b1-0023-4997-94ca-37ae1a594c90,B,7.088,0,0,1
370c1cb0-e8fc-4db6-a64a-fdbc971e6248,B,7.084,0,1,0
22b99efc-c8a5-4ace-bf82-ce7143a6609b,B,8.800,0,0,1
5a2fe76b-7402-4be5-9759-b27e50e5c097,B,7.126,0,0,1
40f89da9-ec3c-4fc5-be75-bafb483ce257,B,6.927,0,0,1
fb2d8384-e3a0-41b0-a64b-ad944f97ee50,A,6.228,0,0,1
bddfcf2e-12c6-4c0d-83cd-01f4cd4ec360,B,6.303,0,0,1
65642b0c-b087-4f48-b059-e0f4df023132,A,5.865,0,0,1
b70069eb-eb59-407c-baf2-8d7dccfd2e1c,A,5.894,0,0,1
2f6a3a13-4fd4-4985-98f5-b1e118fb2543,A,6.433,0,0,1
8535fee0-12ae-41e1-a2cc-7234d25bd567,A,5.859,0,0,1
149b60bd-1e2d-4425-846e-c6e741a1fb39,A,6.659,0,0,1
502ffda7-bb66-40eb-8c61-8649c5de7202,A,6.141,0,0,1
2bcc075f-9fb2-45ae-a7a7-ceb33a5cb997,B,6.089,0,0,1
5769e723-c240-4a12-b637-ef25d9c1f05d,B,6.226,1,1,1
c8de72b5-7930-4ed3-9c69-83b865b65414,B,6.430,1,1,1
3df7d635-a833-4677-b03c-f11ac3e38666,A,6.076,0,0,1
7493d441-9a30-4635-9941-6eb02bbd4825,B,6.637,0,0,1
36f47aca-23ad-4108-b754-240d628f226b,A,5.979,0,0,1
1b987c73-c29f-4c51-a9ad-1ee9b0b6571e,B,6.470,0,0,1
fb399e37-835d-4314-a098-1d36c83276b2,A,6.392,0,0,1
d97ea7f5-ac82-47e6-85b7-d6aca96d266f,A,6.122,0,0,1
a41e0ed8-d3ee-4193-8df2-c5c1b0fe02d5,A,7.957,1,1,1
